	source	target	weight	p_value
113028	PI3K	C2orf69	4.0647078	5.7479603e-09
113029	PI3K	SLC16A5	-2.5299091	5.8776766e-09
113030	PI3K	MRPL47	2.7537136	5.9210645e-09
113031	PI3K	ATG3	2.3592288	5.9473635e-09
113032	PI3K	CDC73	2.686379	5.9869816e-09
113033	PI3K	CLEC11A	-2.909144	5.989093e-09
113034	PI3K	RAB1A	2.1902943	6.180059e-09
113035	PI3K	GAS2L1	2.1169953	6.2284657e-09
113036	PI3K	RDM1	-2.9956148	6.2324705e-09
113037	PI3K	FAM117A	-4.0181203	6.3140626e-09
113038	PI3K	MYLK3	-1.3206347	6.420196e-09
113039	PI3K	ZNF646	-1.513143	6.5852874e-09
113040	PI3K	GNG7	-1.3698381	6.6201498e-09
113041	PI3K	MPST	-2.5604076	6.8433077e-09
113042	PI3K	ZNF599	-1.831539	6.8867347e-09
113043	PI3K	COG8	-2.6357954	7.013855e-09
113044	PI3K	CCDC113	-4.9525824	7.3043593e-09
113045	PI3K	GABBR1	-2.5746868	7.3405304e-09
113046	PI3K	SEC24A	3.9564445	7.3691533e-09
113047	PI3K	SEC31B	-2.47173	7.517827e-09
113048	PI3K	VPS28	-2.9165173	7.5917095e-09
113049	PI3K	CABLES1	-4.2507915	7.658551e-09
113050	PI3K	AIFM3	-1.6022394	7.68233e-09
113051	PI3K	WDR81	-2.9447522	7.879534e-09
113052	PI3K	ADPRM	-3.2957647	7.989021e-09
113053	PI3K	DNAJC4	-1.9228457	8.106099e-09
113054	PI3K	ATAD2B	2.295307	8.235723e-09
113055	PI3K	ENC1	6.713005	8.240855e-09
113056	PI3K	SKIC8	1.889733	8.3832985e-09
113057	PI3K	RABIF	2.4015126	8.464799e-09
113058	PI3K	LRRK1	-1.8269	8.734567e-09
113059	PI3K	MSRB2	-3.2904391	8.764056e-09
113060	PI3K	TAMALIN	-2.1892726	8.766992e-09
113061	PI3K	SNCA	-2.7873552	8.951498e-09
113062	PI3K	CUL2	2.427466	8.977683e-09
113063	PI3K	SYNGR1	-2.116553	9.177234e-09
113064	PI3K	NPEPL1	-1.939791	9.467868e-09
113065	PI3K	BCCIP	3.1938636	9.55065e-09
113066	PI3K	NRG1	3.0542681	9.581355e-09
113067	PI3K	SSR3	3.887368	9.741454e-09
113068	PI3K	PGBD1	3.6027358	9.7889785e-09
113069	PI3K	MEIG1	-2.001599	1.0032642e-08
113070	PI3K	ZNF687	-1.9508957	1.0142883e-08
113071	PI3K	PIAS3	2.996555	1.01604005e-08
