Target_genes	Tfcp2l1|Average	SRX9345864|ES_cells	SRX9345866|ES_cells	SRX2229890|Kidney	STRING
Zfp212	380.000000	533	607	0	0
Phlda3	380.000000	640	500	0	0
Gnal	380.000000	521	619	0	0
Dppa3	380.000000	420	720	0	0
Parp10	379.666667	678	461	0	0
Gm5820	379.666667	686	453	0	0
Zfp319	379.333333	694	444	0	0
Usb1	379.333333	694	444	0	0
Trip10	379.333333	650	488	0	0
Rab3c	379.333333	438	700	0	0
Pdgfrb	379.333333	527	611	0	0
Ntrk1	379.333333	754	384	0	0
Mphosph9	379.333333	806	332	0	0
Insrr	379.333333	754	384	0	0
Gpr108	379.333333	650	488	0	0
Cyth2	379.333333	558	580	0	0
Bmpr2	379.333333	586	552	0	0
2810006K23Rik	379.333333	806	332	0	0
Sptb	379.000000	613	524	0	0
Rab17	379.000000	551	586	0	0
Stxbp4	378.666667	748	388	0	0
Id3	378.666667	568	568	0	0
Cox11	378.666667	748	388	0	0
Vapb	378.333333	793	342	0	0
Slc4a11	378.333333	730	405	0	0
Mon2	378.333333	631	504	0	0
Kcnc4	378.333333	650	485	0	0
Gpr152	378.333333	598	537	0	0
Cabp4	378.333333	598	537	0	0
Zfp493	378.000000	569	565	0	0
Flcn	378.000000	437	697	0	0
Phc2	377.666667	815	318	0	0
Inka1	377.666667	484	649	0	0
Cdhr4	377.666667	484	649	0	0
Polr1b	377.333333	479	653	0	0
Opa3	377.333333	673	459	0	0
Chd2	377.333333	527	605	0	0
Ttll13	377.000000	727	404	0	0
Sap25	377.000000	509	622	0	0
Nrxn3	377.000000	698	433	0	0
Irs3	377.000000	509	622	0	0
Zfp503	376.666667	776	354	0	0
Zfp438	376.666667	872	258	0	0
Spg7	376.666667	541	589	0	0
Neto1	376.666667	809	321	0	0
Map4	376.333333	707	422	0	0
Fam177a2	376.333333	655	474	0	0
Fam177a	376.333333	655	474	0	0
Wdr90	376.000000	836	292	0	0
Trmt1	376.000000	765	363	0	0
Shd	376.000000	652	476	0	0
Plod1	376.000000	702	426	0	0
Nacc1	376.000000	765	363	0	0
Mcrip2	376.000000	836	292	0	0
Fam189b	376.000000	717	411	0	0
Cntrl	376.000000	742	386	0	0
Slc12a5	375.666667	892	235	0	0
Gramd4	375.333333	538	588	0	0
Dgkz	375.333333	838	288	0	0
Asmt	375.333333	203	396	527	0
Tnfrsf21	375.000000	766	359	0	0
Sorbs3	375.000000	644	481	0	0
Pgpep1l	375.000000	615	510	0	0
Ccna1	375.000000	897	228	0	0
A830018L16Rik	375.000000	763	362	0	0
Zfp408	374.666667	661	463	0	0
Zbtb25	374.666667	810	314	0	0
Zbtb1	374.666667	810	314	0	0
Rbks	374.666667	498	626	0	0
Meltf	374.666667	791	333	0	0
Babam2	374.666667	498	626	0	0
Arhgap1	374.666667	661	463	0	0
Rdm1	374.000000	453	669	0	0
Phospho2	374.000000	758	364	0	0
Cdc42ep2	374.000000	483	639	0	0
Ccdc173	374.000000	758	364	0	0
Arid1a	374.000000	572	550	0	0
Phox2a	373.666667	448	673	0	0
Il17b	373.666667	533	588	0	0
Cfap206	373.666667	700	421	0	0
Arhgef3	373.333333	705	415	0	0
Pdk1	373.000000	715	404	0	0
Clock	373.000000	531	588	0	0
Ccdc17	373.000000	536	583	0	0
Nlk	372.666667	412	706	0	0
Ebag9	372.666667	814	304	0	0
Lmntd1	372.333333	642	475	0	0
Fbf1	372.333333	592	525	0	0
Fbxo17	372.000000	478	638	0	0
Adprhl1	372.000000	641	475	0	0
Abcf3	372.000000	375	741	0	0
Pdgfa	371.666667	530	585	0	0
Il11ra1	371.666667	808	307	0	0
Galt	371.666667	808	307	0	0
Ephx1	371.666667	594	521	0	0
Dbi	371.666667	658	457	0	0
3110009E18Rik	371.666667	658	457	0	0
Osbpl2	371.333333	646	468	0	0
Dpy19l3	371.333333	714	400	0	0
Cplane1	371.333333	565	549	0	0
Camk1	371.333333	621	493	0	0
Slc18b1	371.000000	435	678	0	0
Nlrp4a	370.666667	617	495	0	0
Farsa	370.666667	765	347	0	0
Bmp8a	370.333333	664	447	0	0
Srsf6	370.000000	485	625	0	0
Rab5a	369.666667	564	545	0	0
Prkch	369.666667	719	390	0	0
Krtap2-4	369.666667	450	659	0	0
Gm11562	369.666667	450	659	0	0
Btn2a2	369.666667	517	592	0	0
Nt5c3b	369.333333	880	228	0	0
Klhl10	369.333333	880	228	0	0
Ublcp1	369.000000	597	510	0	0
Mief1	368.666667	560	546	0	0
Rbms3	368.333333	439	666	0	0
Brd3	368.333333	530	575	0	0
Syne1	368.000000	850	254	0	0
Nup54	368.000000	646	458	0	0
Exph5	368.000000	673	431	0	0
Cnpy2	367.666667	628	475	0	0
