Target_genes	Srebf2|Average	SRX7671896|NLPCs	SRX7671897|NLPCs	SRX7671884|Oligodendrocytes	SRX7671885|Oligodendrocytes	STRING
Rps6	99.250000	298	99	0	0	0
Rfng	99.250000	397	0	0	0	0
Gps1	99.250000	397	0	0	0	0
Tmem138	99.000000	396	0	0	0	0
Ptma	99.000000	263	133	0	0	0
Cyb561a3	99.000000	396	0	0	0	0
Tbc1d22a	98.750000	395	0	0	0	0
Snip1	98.750000	395	0	0	0	0
Rpl30	98.750000	241	154	0	0	0
Psmd7	98.750000	275	120	0	0	0
Hgs	98.750000	225	170	0	0	0
Elp6	98.750000	272	123	0	0	0
Dnali1	98.750000	395	0	0	0	0
Arl16	98.750000	225	170	0	0	0
Slc25a44	98.500000	257	137	0	0	0
Rpl37a	98.500000	192	202	0	0	0
Mrps21	98.250000	393	0	0	0	0
Fbxw2	98.250000	275	118	0	0	0
Ubl5	97.750000	391	0	0	0	0
Ube2j2	97.750000	391	0	0	0	0
Pyroxd1	97.750000	391	0	0	0	0
Idh3b	97.750000	391	0	0	0	0
Gabpa	97.750000	309	82	0	0	0
Fbxl12	97.750000	391	0	0	0	0
Atp5j	97.750000	309	82	0	0	0
Serbp1	97.250000	273	116	0	0	0
Lamtor3	97.250000	389	0	0	0	0
Rps15	97.000000	225	163	0	0	0
Apc2	97.000000	225	163	0	0	0
Smim40	96.750000	259	128	0	0	0
Daxx	96.750000	259	128	0	0	0
Tcte3	96.500000	316	70	0	0	0
Gm3435	96.500000	316	70	0	0	0
Clns1a	96.500000	386	0	0	0	0
Snf8	96.250000	234	151	0	0	0
Synj2bp	96.000000	384	0	0	0	0
Gm20498	96.000000	384	0	0	0	0
Wdr37	95.750000	383	0	0	0	0
Trappc6b	95.750000	285	98	0	0	0
Gm14326	95.750000	254	129	0	0	0
Zbtb37	95.500000	323	59	0	0	0
9030025P20Rik	95.250000	381	0	0	0	0
Zfp113	95.000000	224	156	0	0	0
Pianp	94.750000	254	125	0	0	0
Atg12	94.750000	379	0	0	0	0
Ap3s1	94.750000	379	0	0	0	0
Amn1	94.750000	283	96	0	0	0
Rhbdd1	94.500000	272	106	0	0	0
Esyt2	94.500000	214	164	0	0	0
Uggt1	94.250000	377	0	0	0	0
Rnf185	94.250000	223	154	0	0	0
Zfp119a	94.000000	210	166	0	0	0
Gcn1	94.000000	376	0	0	0	0
Ppia	93.750000	375	0	0	0	0
Ddx55	93.750000	282	93	0	0	0
Anapc11	93.750000	236	139	0	0	0
Alyref	93.750000	236	139	0	0	0
Kctd5	93.500000	374	0	0	0	0
Zfp558	93.000000	372	0	0	0	0
Poc1b	93.000000	230	142	0	0	0
Nop58	93.000000	274	98	0	0	0
Mbd3l1	93.000000	372	0	0	0	0
Galnt4	93.000000	230	142	0	0	0
Spopl	92.750000	241	130	0	0	0
Zbtb26	92.500000	370	0	0	0	0
Wdr76	92.500000	214	156	0	0	0
Stub1	92.500000	248	122	0	0	0
Sec61a1	92.500000	229	141	0	0	0
Rhbdl1	92.500000	248	122	0	0	0
Rabgap1	92.500000	370	0	0	0	0
Nub1	92.500000	370	0	0	0	0
Mfap1a	92.500000	214	156	0	0	0
Jmjd8	92.500000	248	122	0	0	0
H2bc4	92.500000	281	89	0	0	0
H2ac6	92.500000	281	89	0	0	0
Samd10	92.250000	369	0	0	0	0
Prpf6	92.250000	369	0	0	0	0
Pde12	92.250000	369	0	0	0	0
Cenph	92.250000	369	0	0	0	0
Rpl11	92.000000	368	0	0	0	0
Fbrs	92.000000	273	95	0	0	0
Snrpb	91.750000	298	69	0	0	0
Prpf3	91.500000	366	0	0	0	0
Mon1b	91.500000	186	180	0	0	0
H3c15	91.500000	366	0	0	0	0
H3c14	91.500000	366	0	0	0	0
H2ac19	91.500000	366	0	0	0	0
H2ac18	91.500000	366	0	0	0	0
Ttll5	91.250000	256	0	109	0	0
Shoc2	91.250000	246	119	0	0	0
Sdhaf3	91.250000	216	149	0	0	0
Erg28	91.250000	256	0	109	0	0
Bbip1	91.250000	246	119	0	0	0
Yif1b	91.000000	364	0	0	0	0
Nab1	90.750000	160	0	203	0	0
Lsm1	90.750000	222	141	0	0	0
Etf1	90.750000	237	126	0	0	0
Cltc	90.750000	363	0	0	0	0
Bag4	90.750000	222	141	0	0	0
